timestamp,open,high,low,close,volume
2025-03-10 08:00:00+00:00,82277.7,84031.5,81110.0,83540.2,76138.678
2025-03-10 12:00:00+00:00,83540.3,83728.2,79142.8,80009.7,124660.837
2025-03-10 16:00:00+00:00,80009.7,80217.6,77410.1,79037.1,106456.31
2025-03-10 20:00:00+00:00,79035.3,79844.4,78363.6,78567.8,39532.566
2025-03-11 00:00:00+00:00,78567.8,79888.0,76560.0,79486.6,78235.731
2025-03-11 04:00:00+00:00,79486.7,80585.5,79411.2,80386.0,33668.415
2025-03-11 08:00:00+00:00,80386.0,82061.5,80291.0,81684.6,41608.884
2025-03-11 12:00:00+00:00,81684.5,82240.0,79026.2,81190.7,139695.873
2025-03-11 16:00:00+00:00,81190.7,83600.0,80600.0,83060.1,74604.747
2025-03-11 20:00:00+00:00,83060.1,83261.7,82512.4,82896.0,22965.519
2025-03-12 00:00:00+00:00,82896.0,83741.8,82066.5,82098.2,35999.113
2025-03-12 04:00:00+00:00,82098.2,82500.0,81250.0,82402.9,37098.324
2025-03-12 08:00:00+00:00,82402.8,83046.9,81980.0,82972.0,37875.934
2025-03-12 12:00:00+00:00,82971.9,84487.0,80578.5,81688.1,122716.834
2025-03-12 16:00:00+00:00,81688.0,83127.4,81575.6,82877.3,53129.002
2025-03-12 20:00:00+00:00,82877.3,83849.0,82662.0,83640.7,19351.917
2025-03-13 00:00:00+00:00,83640.7,84307.1,83267.1,83537.1,24001.951
2025-03-13 04:00:00+00:00,83537.2,83663.0,82813.2,83118.5,24236.411
2025-03-13 08:00:00+00:00,83118.6,83494.6,82350.0,82939.5,30560.697
2025-03-13 12:00:00+00:00,82939.3,84030.0,80914.4,81016.0,88799.609
2025-03-13 16:00:00+00:00,81016.0,81243.8,79903.4,80177.9,58197.608
2025-03-13 20:00:00+00:00,80177.5,81450.5,80162.9,81085.4,22163.776
2025-03-14 00:00:00+00:00,81085.5,82249.0,80772.0,81861.5,27108.918
2025-03-14 04:00:00+00:00,81861.5,82425.0,81730.9,82124.5,17419.406
2025-03-14 08:00:00+00:00,82124.6,83330.0,82121.2,83202.8,30208.907
2025-03-14 12:00:00+00:00,83202.9,85270.2,82594.3,84692.2,97510.76
2025-03-14 16:00:00+00:00,84692.1,84908.8,83908.3,84508.1,40100.559
2025-03-14 20:00:00+00:00,84504.8,84507.8,83654.7,83939.8,21196.158
2025-03-15 00:00:00+00:00,83939.9,84625.0,83915.4,84439.9,13976.156
2025-03-15 04:00:00+00:00,84440.0,84520.0,83752.9,83797.0,12901.624
2025-03-15 08:00:00+00:00,83797.1,84143.9,83564.5,84054.8,18511.016
2025-03-15 12:00:00+00:00,84054.7,84442.0,83961.6,84295.8,16141.216
2025-03-15 16:00:00+00:00,84295.7,84453.4,84060.0,84261.2,9720.647
2025-03-15 20:00:00+00:00,84261.2,84433.1,84191.2,84302.9,5424.311
2025-03-16 00:00:00+00:00,84303.0,84357.1,83691.3,84295.9,13994.399
2025-03-16 04:00:00+00:00,84296.0,84382.2,83924.4,84242.0,10835.962
2025-03-16 08:00:00+00:00,84242.1,84300.0,82333.4,82367.9,37793.928
2025-03-16 12:00:00+00:00,82367.9,83454.0,82354.8,83280.0,36041.854
2025-03-16 16:00:00+00:00,83280.0,85136.0,82500.0,83064.3,51260.232
2025-03-16 20:00:00+00:00,83064.3,83424.4,81925.6,82541.6,24704.325
2025-03-17 00:00:00+00:00,82541.6,83696.6,82483.9,83641.0,21622.978
